task,date,use_bmc,use_smoke,force external spec,passed_assertions,failed_assertions,original_lines,final_lines,llm_calls,llm_time,repair_time,Spec Defined,Exit Cause,output_name,smoke warnings,sem loop time,num. suggested fixes,total tokens
docs/data/BaierKatoen/bk-ex2_17.txt,2025-04-02 03:48:51.599493,True,False,True,0,0,17,22,2,2.6,1.22,True,holes in the uclid module,final_results/run-2/bk-ex2_17/bmc_plus_spec/92.ucl,,5.47,,
docs/data/BaierKatoen/bk-ex2_17.txt,2025-04-02 03:48:51.599493,True,False,True,0,2,5,10,2,2.21,0.29,True,finished iteration 2,final_results/run-2/bk-ex2_17/bmc_plus_spec/92.ucl,54321,8.17,2,
docs/data/BaierKatoen/bk-ex2_17.txt,2025-04-02 03:48:51.599493,True,False,True,0,2,11,10,2,2.22,0.25,True,finished iteration 3,final_results/run-2/bk-ex2_17/bmc_plus_spec/92.ucl,54321,8.78,3,
docs/data/BaierKatoen/bk-ex2_17.txt,2025-04-02 03:48:51.599493,True,False,True,1,1,19,18,2,2.95,0.56,True,finished iteration 4,final_results/run-2/bk-ex2_17/bmc_plus_spec/92.ucl,54321,11.14,2,
docs/data/BaierKatoen/bk-ex2_17.txt,2025-04-02 03:48:51.599493,True,False,True,1,1,18,18,2,2.8,0.54,True,finished iteration 5,final_results/run-2/bk-ex2_17/bmc_plus_spec/92.ucl,54321,10.35,2,
