task,date,use_bmc,use_smoke,force external spec,passed_assertions,failed_assertions,original_lines,final_lines,llm_calls,llm_time,repair_time,Spec Defined,Exit Cause,output_name,smoke warnings,sem loop time,num. suggested fixes,total tokens
docs/data/BaierKatoen/bk_ex2_43.txt,2025-04-02 03:36:45.614202,True,True,True,0,0,25,30,2,5.59,1.06,True,finished iteration 1,final_results/run-2/bk_ex2_43/all/47.ucl,0,16.46,1,
docs/data/BaierKatoen/bk_ex2_43.txt,2025-04-02 03:36:45.614202,True,True,True,2,3,30,30,2,5.38,1.34,True,finished iteration 2,final_results/run-2/bk_ex2_43/all/47.ucl,54321,17.6,3,
docs/data/BaierKatoen/bk_ex2_43.txt,2025-04-02 03:36:45.614202,True,True,True,0,0,30,30,2,7.35,1.23,True,finished iteration 3,final_results/run-2/bk_ex2_43/all/47.ucl,54321,19.53,1,
docs/data/BaierKatoen/bk_ex2_43.txt,2025-04-02 03:36:45.614202,True,True,True,2,3,33,30,2,5.93,1.2,True,finished iteration 4,final_results/run-2/bk_ex2_43/all/47.ucl,54321,16.19,3,
docs/data/BaierKatoen/bk_ex2_43.txt,2025-04-02 03:36:45.614202,True,True,True,2,3,31,30,2,7.21,1.07,True,finished iteration 5,final_results/run-2/bk_ex2_43/all/47.ucl,54321,18.62,4,
