task,date,use_bmc,use_smoke,force external spec,passed_assertions,failed_assertions,original_lines,final_lines,llm_calls,llm_time,repair_time,Spec Defined,Exit Cause,output_name,smoke warnings,sem loop time,num. suggested fixes,total tokens
docs/data/HuthRyan/hr_p199.txt,2025-04-02 00:00:03.956641,True,False,True,0,0,36,48,2,10.3,1.54,True,finished iteration 1,final_results/run-0/hr_p199/bmc_plus_spec/116.ucl,54321,26.15,0,
docs/data/HuthRyan/hr_p199.txt,2025-04-02 00:00:03.956641,True,False,True,0,0,63,54,4,28.69,7.22,True,finished iteration 2,final_results/run-0/hr_p199/bmc_plus_spec/116.ucl,54321,48.35,0,
docs/data/HuthRyan/hr_p199.txt,2025-04-02 00:00:03.956641,True,False,True,0,0,55,55,5,38.27,11.29,True,finished iteration 3,final_results/run-0/hr_p199/bmc_plus_spec/116.ucl,54321,65.29,0,
docs/data/HuthRyan/hr_p199.txt,2025-04-02 00:00:03.956641,True,False,True,0,0,56,56,5,39.07,10.58,True,finished iteration 4,final_results/run-0/hr_p199/bmc_plus_spec/116.ucl,54321,67.74,0,
docs/data/HuthRyan/hr_p199.txt,2025-04-02 00:00:03.956641,True,False,True,0,0,56,56,5,38.69,15.87,True,finished iteration 5,final_results/run-0/hr_p199/bmc_plus_spec/116.ucl,54321,71.81,0,
