task,date,use_bmc,use_smoke,force external spec,passed_assertions,failed_assertions,original_lines,final_lines,llm_calls,llm_time,repair_time,Spec Defined,Exit Cause,output_name,smoke warnings,sem loop time,num. suggested fixes,total tokens
docs/data/BaierKatoen/bk-ex2_2.txt,2025-04-02 02:27:02.393511,True,False,True,0,1,27,27,2,6.62,1.11,True,finished iteration 1,final_results/run-1/bk-ex2_2/bmc_plus_spec/21.ucl,54321,15.94,2,
docs/data/BaierKatoen/bk-ex2_2.txt,2025-04-02 02:27:02.393511,True,False,True,0,0,29,38,3,14.86,3.3,True,finished iteration 2,final_results/run-1/bk-ex2_2/bmc_plus_spec/21.ucl,54321,25.8,0,
docs/data/BaierKatoen/bk-ex2_2.txt,2025-04-02 02:27:02.393511,True,False,True,0,0,38,38,2,6.94,2.43,True,finished iteration 3,final_results/run-1/bk-ex2_2/bmc_plus_spec/21.ucl,54321,15.65,0,
docs/data/BaierKatoen/bk-ex2_2.txt,2025-04-02 02:27:02.393511,True,False,True,0,0,38,38,2,7.17,2.51,True,finished iteration 4,final_results/run-1/bk-ex2_2/bmc_plus_spec/21.ucl,54321,15.24,0,
docs/data/BaierKatoen/bk-ex2_2.txt,2025-04-02 02:27:02.393511,True,False,True,0,0,38,38,2,8.56,3.06,True,finished iteration 5,final_results/run-1/bk-ex2_2/bmc_plus_spec/21.ucl,54321,19.66,0,
