task,date,use_bmc,use_smoke,force external spec,passed_assertions,failed_assertions,original_lines,final_lines,llm_calls,llm_time,repair_time,Spec Defined,Exit Cause,output_name,smoke warnings,sem loop time,num. suggested fixes,total tokens
docs/data/BaierKatoen/bk_q2_5.txt,2025-04-02 03:42:50.618601,True,False,True,0,0,42,29,4,16.58,6.21,True,finished iteration 1,final_results/run-2/bk_q2_5/bmc_plus_spec/71.ucl,54321,31.89,0,
docs/data/BaierKatoen/bk_q2_5.txt,2025-04-02 03:42:50.618601,True,False,True,0,0,29,30,2,8.62,2.32,True,finished iteration 2,final_results/run-2/bk_q2_5/bmc_plus_spec/71.ucl,54321,18.18,0,
docs/data/BaierKatoen/bk_q2_5.txt,2025-04-02 03:42:50.618601,True,False,True,0,0,30,31,2,11.76,4.67,True,finished iteration 3,final_results/run-2/bk_q2_5/bmc_plus_spec/71.ucl,54321,23.88,0,
docs/data/BaierKatoen/bk_q2_5.txt,2025-04-02 03:42:50.618601,True,False,True,0,0,32,31,2,12.2,3.82,True,finished iteration 4,final_results/run-2/bk_q2_5/bmc_plus_spec/71.ucl,54321,25.1,0,
docs/data/BaierKatoen/bk_q2_5.txt,2025-04-02 03:42:50.618601,True,False,True,0,0,31,31,3,19.26,6.47,True,finished iteration 5,final_results/run-2/bk_q2_5/bmc_plus_spec/71.ucl,54321,41.45,0,
