task,date,use_bmc,use_smoke,force external spec,passed_assertions,failed_assertions,original_lines,final_lines,llm_calls,llm_time,repair_time,Spec Defined,Exit Cause,output_name,smoke warnings,sem loop time,num. suggested fixes,total tokens
docs/data/HuthRyan/hr_p192.txt,2025-04-01 23:52:10.090240,True,False,True,0,0,24,24,5,12.49,2.47,True,finished iteration 1,final_results/run-0/hr_p192/bmc_plus_spec/110.ucl,54321,34.12,0,
docs/data/HuthRyan/hr_p192.txt,2025-04-01 23:52:10.090240,True,False,True,1,2,24,19,5,9.14,2.17,True,finished iteration 2,final_results/run-0/hr_p192/bmc_plus_spec/110.ucl,54321,29.84,3,
docs/data/HuthRyan/hr_p192.txt,2025-04-01 23:52:10.090240,True,False,True,0,1,25,16,3,6.56,1.34,True,finished iteration 3,final_results/run-0/hr_p192/bmc_plus_spec/110.ucl,54321,18.56,3,
docs/data/HuthRyan/hr_p192.txt,2025-04-01 23:52:10.090240,True,False,True,0,0,23,20,3,7.14,1.43,True,finished iteration 4,final_results/run-0/hr_p192/bmc_plus_spec/110.ucl,54321,15.82,0,
docs/data/HuthRyan/hr_p192.txt,2025-04-01 23:52:10.090240,True,False,True,0,2,20,19,3,6.13,1.2,True,finished iteration 5,final_results/run-0/hr_p192/bmc_plus_spec/110.ucl,54321,21.0,4,
