task,date,use_bmc,use_smoke,force external spec,passed_assertions,failed_assertions,original_lines,final_lines,llm_calls,llm_time,repair_time,Spec Defined,Exit Cause,output_name,smoke warnings,sem loop time,num. suggested fixes,total tokens
docs/data/BaierKatoen/bk_q2_12.txt,2025-04-02 03:35:24.817760,True,False,True,1,3,24,30,3,8.06,2.46,True,finished iteration 1,final_results/run-2/bk_q2_12/bmc_plus_spec/39.ucl,54321,23.71,5,
docs/data/BaierKatoen/bk_q2_12.txt,2025-04-02 03:35:24.817760,True,False,True,1,3,29,31,3,10.23,3.26,True,finished iteration 2,final_results/run-2/bk_q2_12/bmc_plus_spec/39.ucl,54321,32.55,7,
docs/data/BaierKatoen/bk_q2_12.txt,2025-04-02 03:35:24.817760,True,False,True,3,1,35,33,2,9.78,2.06,True,finished iteration 3,final_results/run-2/bk_q2_12/bmc_plus_spec/39.ucl,54321,28.02,2,
docs/data/BaierKatoen/bk_q2_12.txt,2025-04-02 03:35:24.817760,True,False,True,4,2,40,35,2,7.77,2.77,True,finished iteration 4,final_results/run-2/bk_q2_12/bmc_plus_spec/39.ucl,54321,22.57,3,
docs/data/BaierKatoen/bk_q2_12.txt,2025-04-02 03:35:24.817760,True,False,True,4,2,39,39,2,8.66,3.14,True,finished iteration 5,final_results/run-2/bk_q2_12/bmc_plus_spec/39.ucl,54321,25.2,3,
