task,date,use_bmc,use_smoke,force external spec,passed_assertions,failed_assertions,original_lines,final_lines,llm_calls,llm_time,repair_time,Spec Defined,Exit Cause,output_name,smoke warnings,sem loop time,num. suggested fixes,total tokens
docs/data/BaierKatoen/bk-ex1_1.txt,2025-04-01 23:01:04.364117,True,True,True,3,1,39,20,2,5.13,0.85,True,finished iteration 1,final_results/run-0/bk-ex1_1/all/52.ucl,54321,13.6,2,
docs/data/BaierKatoen/bk-ex1_1.txt,2025-04-01 23:01:04.364117,True,True,True,3,1,21,22,2,4.23,0.77,True,finished iteration 2,final_results/run-0/bk-ex1_1/all/52.ucl,54321,14.84,3,
docs/data/BaierKatoen/bk-ex1_1.txt,2025-04-01 23:01:04.364117,True,True,True,0,1,22,21,2,8.08,0.74,True,finished iteration 3,final_results/run-0/bk-ex1_1/all/52.ucl,54321,15.99,2,
docs/data/BaierKatoen/bk-ex1_1.txt,2025-04-01 23:01:04.364117,True,True,True,1001,0,19,22,2,3.5,1.03,True,finished iteration 4,final_results/run-0/bk-ex1_1/all/52.ucl,1,19.25,1,
docs/data/BaierKatoen/bk-ex1_1.txt,2025-04-01 23:01:04.364117,True,True,True,1001,0,21,24,2,5.65,1.27,True,finished iteration 5,final_results/run-0/bk-ex1_1/all/52.ucl,2,26.97,2,
