task,date,use_bmc,use_smoke,force external spec,passed_assertions,failed_assertions,original_lines,final_lines,llm_calls,llm_time,repair_time,Spec Defined,Exit Cause,output_name,smoke warnings,sem loop time,num. suggested fixes,total tokens
docs/data/BaierKatoen/bk_ex2_30.txt,2025-04-02 03:25:22.292348,True,False,True,0,0,35,44,5,34.11,296.84,True,holes in the uclid module,final_results/run-2/bk_ex2_30/bmc_plus_spec/10.ucl,,342.27,,
docs/data/BaierKatoen/bk_ex2_30.txt,2025-04-02 03:25:22.292348,True,False,True,0,0,37,36,5,23.66,8.46,True,finished iteration 2,final_results/run-2/bk_ex2_30/bmc_plus_spec/10.ucl,54321,47.48,0,
docs/data/BaierKatoen/bk_ex2_30.txt,2025-04-02 03:25:22.292348,True,False,True,0,0,39,36,4,21.51,7.09,True,finished iteration 3,final_results/run-2/bk_ex2_30/bmc_plus_spec/10.ucl,54321,42.19,0,
docs/data/BaierKatoen/bk_ex2_30.txt,2025-04-02 03:25:22.292348,True,False,True,0,0,38,37,2,7.42,4.27,True,finished iteration 4,final_results/run-2/bk_ex2_30/bmc_plus_spec/10.ucl,54321,17.74,0,
docs/data/BaierKatoen/bk_ex2_30.txt,2025-04-02 03:25:22.292348,True,False,True,0,0,38,37,2,8.85,3.34,True,finished iteration 5,final_results/run-2/bk_ex2_30/bmc_plus_spec/10.ucl,54321,19.27,0,
