task,date,use_bmc,use_smoke,force external spec,passed_assertions,failed_assertions,original_lines,final_lines,llm_calls,llm_time,repair_time,Spec Defined,Exit Cause,output_name,smoke warnings,sem loop time,num. suggested fixes,total tokens
docs/data/BaierKatoen/bk-ex2_17-part2.txt,2025-04-02 01:36:13.984561,True,True,True,2,2,23,30,2,3.93,1.33,True,finished iteration 1,final_results/run-0/bk-ex2_17-part2/all/1.ucl,54321,12.78,3,
docs/data/BaierKatoen/bk-ex2_17-part2.txt,2025-04-02 01:36:13.984561,True,True,True,2,2,24,24,2,3.66,0.76,True,finished iteration 2,final_results/run-0/bk-ex2_17-part2/all/1.ucl,54321,14.03,2,
docs/data/BaierKatoen/bk-ex2_17-part2.txt,2025-04-02 01:36:13.984561,True,True,True,0,0,28,27,2,5.51,1.49,True,holes in the uclid module,final_results/run-0/bk-ex2_17-part2/all/1.ucl,,12.22,,
docs/data/BaierKatoen/bk-ex2_17-part2.txt,2025-04-02 01:36:13.984561,True,True,True,0,0,29,28,2,6.46,1.75,True,smoke testing found no warnings,final_results/run-0/bk-ex2_17-part2/all/1.ucl,0,23.22,,
