task,date,use_bmc,use_smoke,force external spec,passed_assertions,failed_assertions,original_lines,final_lines,llm_calls,llm_time,repair_time,Spec Defined,Exit Cause,output_name,smoke warnings,sem loop time,num. suggested fixes,total tokens
docs/data/BaierKatoen/bk-ex2_2.txt,2025-04-01 22:28:35.880804,True,False,True,0,0,33,44,3,17.11,3.36,True,finished iteration 1,final_results/run-0/bk-ex2_2/bmc_plus_spec/21.ucl,54321,27.56,0,
docs/data/BaierKatoen/bk-ex2_2.txt,2025-04-01 22:28:35.880804,True,False,True,3,5,30,38,3,9.62,3.27,True,finished iteration 2,final_results/run-0/bk-ex2_2/bmc_plus_spec/21.ucl,54321,32.11,5,
docs/data/BaierKatoen/bk-ex2_2.txt,2025-04-01 22:28:35.880804,True,False,True,3,7,42,40,2,11.93,2.85,True,finished iteration 3,final_results/run-0/bk-ex2_2/bmc_plus_spec/21.ucl,54321,32.13,5,
docs/data/BaierKatoen/bk-ex2_2.txt,2025-04-01 22:28:35.880804,True,False,True,3,4,33,41,3,13.61,3.44,True,finished iteration 4,final_results/run-0/bk-ex2_2/bmc_plus_spec/21.ucl,54321,31.21,4,
docs/data/BaierKatoen/bk-ex2_2.txt,2025-04-01 22:28:35.880804,True,False,True,3,4,31,38,2,10.06,2.32,True,finished iteration 5,final_results/run-0/bk-ex2_2/bmc_plus_spec/21.ucl,54321,26.19,4,
