task,date,use_bmc,use_smoke,force external spec,passed_assertions,failed_assertions,original_lines,final_lines,llm_calls,llm_time,repair_time,Spec Defined,Exit Cause,output_name,smoke warnings,sem loop time,num. suggested fixes,total tokens
docs/data/BaierKatoen/bk_ex2_43.txt,2025-04-02 02:33:54.050747,True,False,True,0,0,23,27,5,12.76,1.29,True,holes in the uclid module,final_results/run-1/bk_ex2_43/bmc_plus_spec/47.ucl,,20.1,,
docs/data/BaierKatoen/bk_ex2_43.txt,2025-04-02 02:33:54.050747,True,False,True,0,5,16,22,3,8.76,0.76,True,finished iteration 2,final_results/run-1/bk_ex2_43/bmc_plus_spec/47.ucl,54321,23.79,5,
docs/data/BaierKatoen/bk_ex2_43.txt,2025-04-02 02:33:54.050747,True,False,True,1,3,24,25,2,4.87,0.89,True,finished iteration 3,final_results/run-1/bk_ex2_43/bmc_plus_spec/47.ucl,54321,22.32,6,
docs/data/BaierKatoen/bk_ex2_43.txt,2025-04-02 02:33:54.050747,True,False,True,1,3,27,27,2,6.47,0.91,True,finished iteration 4,final_results/run-1/bk_ex2_43/bmc_plus_spec/47.ucl,54321,16.43,3,
docs/data/BaierKatoen/bk_ex2_43.txt,2025-04-02 02:33:54.050747,True,False,True,0,0,28,27,2,5.54,0.84,True,finished iteration 5,final_results/run-1/bk_ex2_43/bmc_plus_spec/47.ucl,54321,12.67,0,
