task,date,use_bmc,use_smoke,force external spec,passed_assertions,failed_assertions,original_lines,final_lines,llm_calls,llm_time,repair_time,Spec Defined,Exit Cause,output_name,smoke warnings,sem loop time,num. suggested fixes,total tokens
docs/data/BaierKatoen/bk_q2_3.txt,2025-04-02 02:49:32.362438,True,False,True,0,0,39,63,5,54.53,14.37,True,finished iteration 1,final_results/run-1/bk_q2_3/bmc_plus_spec/98.ucl,54321,86.46,0,
docs/data/BaierKatoen/bk_q2_3.txt,2025-04-02 02:49:32.362438,True,False,True,0,0,71,37,5,53.36,17.58,True,finished iteration 2,final_results/run-1/bk_q2_3/bmc_plus_spec/98.ucl,54321,97.14,0,
docs/data/BaierKatoen/bk_q2_3.txt,2025-04-02 02:49:32.362438,True,False,True,2,5,37,36,2,10.37,3.18,True,finished iteration 3,final_results/run-1/bk_q2_3/bmc_plus_spec/98.ucl,54321,36.69,5,
docs/data/BaierKatoen/bk_q2_3.txt,2025-04-02 02:49:32.362438,True,False,True,5,2,37,36,2,10.39,3.03,True,finished iteration 4,final_results/run-1/bk_q2_3/bmc_plus_spec/98.ucl,54321,26.0,3,
docs/data/BaierKatoen/bk_q2_3.txt,2025-04-02 02:49:32.362438,True,False,True,2,2,31,33,3,14.37,3.57,True,finished iteration 5,final_results/run-1/bk_q2_3/bmc_plus_spec/98.ucl,54321,33.77,3,
