task,date,use_bmc,use_smoke,force external spec,passed_assertions,failed_assertions,original_lines,final_lines,llm_calls,llm_time,repair_time,Spec Defined,Exit Cause,output_name,smoke warnings,sem loop time,num. suggested fixes,total tokens
docs/data/BaierKatoen/bk_ex2_20.txt,2025-04-01 22:36:02.360249,True,True,True,0,1,16,11,2,2.57,0.26,True,finished iteration 1,final_results/run-0/bk_ex2_20/all/26.ucl,54321,8.24,2,
docs/data/BaierKatoen/bk_ex2_20.txt,2025-04-01 22:36:02.360249,True,True,True,0,1,15,14,2,2.5,0.46,True,finished iteration 2,final_results/run-0/bk_ex2_20/all/26.ucl,54321,10.22,2,
docs/data/BaierKatoen/bk_ex2_20.txt,2025-04-01 22:36:02.360249,True,True,True,0,1,17,19,2,4.01,1.36,True,finished iteration 3,final_results/run-0/bk_ex2_20/all/26.ucl,54321,17.82,4,
docs/data/BaierKatoen/bk_ex2_20.txt,2025-04-01 22:36:02.360249,True,True,True,0,1,18,13,2,3.97,0.99,True,finished iteration 4,final_results/run-0/bk_ex2_20/all/26.ucl,54321,16.65,3,
docs/data/BaierKatoen/bk_ex2_20.txt,2025-04-01 22:36:02.360249,True,True,True,2,2,13,14,2,3.56,0.96,True,finished iteration 5,final_results/run-0/bk_ex2_20/all/26.ucl,54321,14.06,2,
