task,date,use_bmc,use_smoke,force external spec,passed_assertions,failed_assertions,original_lines,final_lines,llm_calls,llm_time,repair_time,Spec Defined,Exit Cause,output_name,smoke warnings,sem loop time,num. suggested fixes,total tokens
docs/data/BaierKatoen/bk_q2_3.txt,2025-04-01 23:42:13.506641,True,False,True,0,0,36,53,5,28.9,5.49,True,holes in the uclid module,final_results/run-0/bk_q2_3/bmc_plus_spec/97.ucl,,48.77,,
docs/data/BaierKatoen/bk_q2_3.txt,2025-04-01 23:42:13.506641,True,False,True,1,5,38,51,3,14.8,4.11,True,finished iteration 2,final_results/run-0/bk_q2_3/bmc_plus_spec/97.ucl,54321,33.54,3,
docs/data/BaierKatoen/bk_q2_3.txt,2025-04-01 23:42:13.506641,True,False,True,3,4,47,50,2,11.22,3.42,True,finished iteration 3,final_results/run-0/bk_q2_3/bmc_plus_spec/97.ucl,54321,29.28,3,
docs/data/BaierKatoen/bk_q2_3.txt,2025-04-01 23:42:13.506641,True,False,True,0,0,53,46,5,45.63,14.9,True,holes in the uclid module,final_results/run-0/bk_q2_3/bmc_plus_spec/97.ucl,,82.52,,
docs/data/BaierKatoen/bk_q2_3.txt,2025-04-01 23:42:13.506641,True,False,True,4,3,49,48,2,12.77,3.36,True,finished iteration 5,final_results/run-0/bk_q2_3/bmc_plus_spec/97.ucl,54321,32.94,3,
