task,date,use_bmc,use_smoke,force external spec,passed_assertions,failed_assertions,original_lines,final_lines,llm_calls,llm_time,repair_time,Spec Defined,Exit Cause,output_name,smoke warnings,sem loop time,num. suggested fixes,total tokens
docs/data/HuthRyan/hr_p192.txt,2025-04-02 03:52:15.481368,True,False,True,0,0,24,21,5,10.94,3.27,True,holes in the uclid module,final_results/run-2/hr_p192/bmc_plus_spec/108.ucl,,19.92,,
docs/data/HuthRyan/hr_p192.txt,2025-04-02 03:52:15.481368,True,False,True,0,0,20,17,5,8.17,2.8,True,finished iteration 2,final_results/run-2/hr_p192/bmc_plus_spec/108.ucl,54321,19.83,0,
docs/data/HuthRyan/hr_p192.txt,2025-04-02 03:52:15.481368,True,False,True,0,2,17,17,2,2.58,1.16,True,finished iteration 3,final_results/run-2/hr_p192/bmc_plus_spec/108.ucl,54321,15.49,3,
docs/data/HuthRyan/hr_p192.txt,2025-04-02 03:52:15.481368,True,False,True,0,2,17,17,2,2.51,0.86,True,finished iteration 4,final_results/run-2/hr_p192/bmc_plus_spec/108.ucl,54321,11.13,3,
docs/data/HuthRyan/hr_p192.txt,2025-04-02 03:52:15.481368,True,False,True,0,2,17,17,2,2.94,0.99,True,finished iteration 5,final_results/run-2/hr_p192/bmc_plus_spec/108.ucl,54321,16.51,4,
