task,date,use_bmc,use_smoke,force external spec,passed_assertions,failed_assertions,original_lines,final_lines,llm_calls,llm_time,repair_time,Spec Defined,Exit Cause,output_name,smoke warnings,sem loop time,num. suggested fixes,total tokens
docs/data/BaierKatoen/bk-ex2_2.txt,2025-04-01 22:32:49.429884,True,True,True,1,3,44,44,4,25.8,5.65,True,finished iteration 1,final_results/run-0/bk-ex2_2/all/25.ucl,54321,48.19,4,
docs/data/BaierKatoen/bk-ex2_2.txt,2025-04-01 22:32:49.429884,True,True,True,0,0,44,48,2,13.26,2.83,True,finished iteration 2,final_results/run-0/bk-ex2_2/all/25.ucl,4,36.44,3,
docs/data/BaierKatoen/bk-ex2_2.txt,2025-04-01 22:32:49.429884,True,True,True,3,5,43,45,3,15.97,3.32,True,finished iteration 3,final_results/run-0/bk-ex2_2/all/25.ucl,54321,41.16,6,
docs/data/BaierKatoen/bk-ex2_2.txt,2025-04-01 22:32:49.429884,True,True,True,3,5,39,45,2,10.79,2.12,True,finished iteration 4,final_results/run-0/bk-ex2_2/all/25.ucl,54321,26.32,5,
docs/data/BaierKatoen/bk-ex2_2.txt,2025-04-01 22:32:49.429884,True,True,True,3,8,51,49,2,13.26,3.05,True,finished iteration 5,final_results/run-0/bk-ex2_2/all/25.ucl,54321,33.4,3,
