task,date,use_bmc,use_smoke,force external spec,passed_assertions,failed_assertions,original_lines,final_lines,llm_calls,llm_time,repair_time,Spec Defined,Exit Cause,output_name,smoke warnings,sem loop time,num. suggested fixes,total tokens
docs/data/LeeSeshia/ls-q3_1.txt,2025-04-02 04:07:59.912209,True,False,True,0,2,7,11,4,4.3,0.99,True,finished iteration 1,final_results/run-2/ls-q3_1/bmc_plus_spec/152.ucl,54321,13.61,3,
docs/data/LeeSeshia/ls-q3_1.txt,2025-04-02 04:07:59.912209,True,False,True,22,0,19,19,2,3.38,0.81,True,uclid passed and no failed assertions,final_results/run-2/ls-q3_1/bmc_plus_spec/152.ucl,,14.56,,
