task,date,use_bmc,use_smoke,force external spec,passed_assertions,failed_assertions,original_lines,final_lines,llm_calls,llm_time,repair_time,Spec Defined,Exit Cause,output_name,smoke warnings,sem loop time,num. suggested fixes,total tokens
docs/data/LeeSeshia/ls-q4_6-2.txt,2025-04-02 03:02:54.785915,True,False,True,1,6,34,43,3,18.67,3.82,True,finished iteration 1,final_results/run-1/ls-q4_6-2/bmc_plus_spec/132.ucl,54321,42.73,5,
docs/data/LeeSeshia/ls-q4_6-2.txt,2025-04-02 03:02:54.785915,True,False,True,2,5,45,44,2,12.42,2.22,True,finished iteration 2,final_results/run-1/ls-q4_6-2/bmc_plus_spec/132.ucl,54321,28.22,4,
docs/data/LeeSeshia/ls-q4_6-2.txt,2025-04-02 03:02:54.785915,True,False,True,3,4,46,45,2,12.2,3.45,True,finished iteration 3,final_results/run-1/ls-q4_6-2/bmc_plus_spec/132.ucl,54321,55.54,4,
docs/data/LeeSeshia/ls-q4_6-2.txt,2025-04-02 03:02:54.785915,True,False,True,2,5,54,48,2,13.36,3.54,True,finished iteration 4,final_results/run-1/ls-q4_6-2/bmc_plus_spec/132.ucl,54321,42.74,5,
docs/data/LeeSeshia/ls-q4_6-2.txt,2025-04-02 03:02:54.785915,True,False,True,2,5,49,49,2,13.37,3.04,True,finished iteration 5,final_results/run-1/ls-q4_6-2/bmc_plus_spec/132.ucl,54321,32.77,5,
