task,date,use_bmc,use_smoke,force external spec,passed_assertions,failed_assertions,original_lines,final_lines,llm_calls,llm_time,repair_time,Spec Defined,Exit Cause,output_name,smoke warnings,sem loop time,num. suggested fixes,total tokens
docs/data/BaierKatoen/bk-ex2_17.txt,2025-04-02 02:48:49.025001,True,False,True,1,1,14,18,2,3.67,0.75,True,finished iteration 1,final_results/run-1/bk-ex2_17/bmc_plus_spec/95.ucl,54321,9.64,2,
docs/data/BaierKatoen/bk-ex2_17.txt,2025-04-02 02:48:49.025001,True,False,True,1,1,18,18,2,4.35,0.65,True,finished iteration 2,final_results/run-1/bk-ex2_17/bmc_plus_spec/95.ucl,54321,13.18,2,
docs/data/BaierKatoen/bk-ex2_17.txt,2025-04-02 02:48:49.025001,True,False,True,4,4,18,18,2,2.9,0.6,True,finished iteration 3,final_results/run-1/bk-ex2_17/bmc_plus_spec/95.ucl,54321,14.63,3,
docs/data/BaierKatoen/bk-ex2_17.txt,2025-04-02 02:48:49.025001,True,False,True,1,1,19,18,2,2.71,0.75,True,finished iteration 4,final_results/run-1/bk-ex2_17/bmc_plus_spec/95.ucl,54321,11.4,2,
docs/data/BaierKatoen/bk-ex2_17.txt,2025-04-02 02:48:49.025001,True,False,True,1,1,22,22,2,3.09,1.32,True,finished iteration 5,final_results/run-1/bk-ex2_17/bmc_plus_spec/95.ucl,54321,15.85,3,
